"Title:","Initial Unemployment Claims from the Unemployment Insurance Weekly Claims Insurance - Detail Database"
"SubTitle:","State - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","04/06/1985 - 11/05/2022"
"Unit of Measure:","#","#","#","#","#"
"Citation:","Employment and Training Administration, United States Department of Labor (2022-11-11). Unemployment Insurance Weekly Claims Insurance - Detail: Initial Unemployment Claims | Alaska, California, Hawaii, New York, Wyoming | Non-Seasonally Adjusted, 04/06/1985 - 11/05/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  060-001-001 doi:https://doi.org/10.6068/DP1846838569328"
"ColumnCount:",6
"RowCount:",1938

"Time","Alaska, Non-Seasonally Adjusted, Initial Claims","California, Non-Seasonally Adjusted, Initial Claims","Hawaii, Non-Seasonally Adjusted, Initial Claims","New York, Non-Seasonally Adjusted, Initial Claims","Wyoming, Non-Seasonally Adjusted, Initial Claims"
"02/11/1995",2400,85860,1805,25780,687
"02/18/1995",2269,67629,1769,23186,692
"02/25/1995",2157,62045,1472,18901,550
"03/04/1995",2547,68383,1894,25587,693
"03/11/1995",2076,73271,1981,22111,553
"03/18/1995",2225,71569,1855,20460,521
"03/25/1995",2121,72393,1575,19256,442
"04/01/1995",2329,62976,1598,19217,464
"04/08/1995",2391,66201,2825,19904,623
"04/15/1995",2223,67473,1718,20693,462
"04/22/1995",2403,62451,2186,22365,489
"04/29/1995",1781,61285,1777,24938,384
"05/06/1995",1981,70020,1936,22592,525
"05/13/1995",2249,67486,1770,20978,468
"05/20/1995",1972,63133,1769,19527,396
"05/27/1995",1746,56994,1729,19521,479
"06/03/1995",1569,52037,1527,17461,416
"06/10/1995",2303,63083,2121,21105,355
"06/17/1995",1889,62342,2010,18692,341
"06/24/1995",2028,66309,2092,19910,308
"07/01/1995",1835,64625,1763,23872,275
"07/08/1995",1286,61643,2318,29762,434
"07/15/1995",1668,63926,2108,31239,410
"07/22/1995",1701,60356,1713,22941,357
"07/29/1995",1395,56442,1635,19178,314
"08/05/1995",1778,61559,2137,18888,313
"08/12/1995",1300,60841,1721,17843,258
"08/19/1995",1327,57010,1333,17494,310
"08/26/1995",1222,55708,1628,18644,295
"09/02/1995",1594,53423,1730,17727,343
"09/09/1995",1508,50524,1851,16622,313
"09/16/1995",1590,58390,1761,20763,337
"09/23/1995",1535,56982,1615,17853,382
"09/30/1995",1686,57621,1611,18088,321
"10/07/1995",2272,65997,2434,20073,480
"10/14/1995",2177,60695,1771,18444,405
"10/21/1995",2150,67992,1698,20256,470
"10/28/1995",2479,64180,1562,19476,630
"11/04/1995",2489,70813,1835,21144,813
"11/11/1995",1843,65040,1613,23975,585
"11/18/1995",2164,74893,1876,23422,646
"11/25/1995",1942,49546,1452,22988,498
"12/02/1995",2541,79563,1959,29359,645
"12/09/1995",2126,72290,1842,24029,638
"12/16/1995",2349,77988,1736,23474,575
"12/23/1995",2162,70351,1922,26300,677
"12/30/1995",1838,58081,1964,28363,1099
"01/06/1996",2897,62856,2491,37425,1014
"01/13/1996",3191,73965,2781,31711,1262
"01/20/1996",2378,66986,1951,26571,648
"01/27/1996",2530,72216,2106,30244,754
